Policy ID;Component;Centre;Platform;Component;Centre;Platform;Version;enabled;Policy Identifier (FileType);Regular Expression (regex);installation_node;src_user;src_host;src_path;src_Protocol;dst_user;dst_host;dst_path;dst_protocol;suffix/prefix
17;IDC ;MARINE;REF;IDC;MARINE;REF;01.00;YES;S3A_L0PP;^S3A.*__G*.*\.ISIP$;s3-refidcs01-prd.eumetsat.int;ops3pdgs;s3-refidcs01-prd.eumetsat.int;/data/to_MRN/to_IDC/from_ACQ/Low;FS;ops3pdgs;s3-refidcs01-prd.eumetsat.int;/data/DC/NRTImport/INBASKET;FS;
18;IDC ;MARINE;REF;PM;MARINE;REF;01.00;YES;S3A_L0PP;^S3A.*__G*.*\.ISIP$;s3-refidcs01-prd.eumetsat.int;ops3pdgs;s3-refidcs01-prd.eumetsat.int;/data/to_MRN/to_IDC/from_ACQ/Low;FS;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pm-s3/lowPriority-inbox;FTP;
19;IDC;MARINE;REF;MPMF ;MARINE;OPE;01.00;YES;ACQ_REP_S3A;^S3A_(L0PP_REP|OPER_REP_PASS).*$;s3-refidcs01-prd.eumetsat.int;ops3pdgs;s3-refidcs01-prd.eumetsat.int;/data/to_MRN/to_IDC/ACQ_REPORTS;FS;ops3pdgs;s3-mpminfs01-prd.eumetsat.int;/data/fromNRTAP;FTP;.
20;PM_Outbox;MARINE;REF;DS_S3Reports;MARINE;REF;01.00;YES;S3B_PROD_REP;^S3B_REP_PR_.*$;s3-refpwas03-prd.eumetsat.int;s3sysadm;s3-refpwas03-prd.eumetsat.int;/data_PWA/pm-s3/outbox;FS;ops3pdgs;s3-refstas01-prd.eumetsat.int;/data_STOR/DS/S3Reports;FTP;
9;MPF;MARINE;REF;DFEP6;CGS;SIM;01.00;YES;S3A_MPL_FSSGS;^S3A.*_MPL_FSSGS_.*$;s3-refpwas01-prd.eumetsat.int;s3mpfuser;s3-refmpfs01-prd.eumetsat.int;/home/s3mpfuser/data/outputs;FTP;dftp;s3-refsims02-prd.eumetsat.int;/schedules/S3_dfep6;FTP;.
22;PD_OUTBOX;MARINE;REF;EDS-CGS_MMDS;MARINE;SIM;01.00;YES;MPL_SP;^S3.*MPL_SP.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pd-s3/outbox;FS;dftp;dfep6-sgs-ctl-prod;/out/toEDS/CGS-SGS/STATION_ACQUISITION_PLAN;FTP;
23;MPF;MARINE;REF;DI_INBOX;MARINE;REF;01.00;YES;OPER_MPL_SP;^S3.*_OPER_MPL_SP.*$;s3-refpwas01-prd.eumetsat.int;s3mpfuser;s3-refmpfs01-prd.eumetsat.int;/home/s3mpfuser/data/outputs;FTP;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/di-s3/prod-inbox;FS;
24;PD_OUTBOX;MARINE;REF;MPMF;MARINE;SIM;01.00;YES;MPL_SP;^S3.*MPL_SP.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pd-s3/outbox;FS;ops3pdgs;s3-refsims02-prd.eumetsat.int;/data/fromPD;FTP;
25;PD_OUTBOX;MARINE;REF;MPMF ;MARINE;OPE;01.00;YES;MPL_SP;^S3.*MPL_SP.*$;s3-refpwas01-prd.eumetsat.int;s3sysadm;s3-refpwas01-prd.eumetsat.int;/data_PWA/pd-s3/outbox;FS;ops3pdgs;s3-mpminfs01-prd.eumetsat.int;/data/fromPD;FTP;
26;MPF;MARINE;REF;ESTEC_MMDS;MARINE;SIM;01.00;YES;S3B_MPL_DNPPF;^S3B.*_OPER_MPL_DNPPF.*$;s3-refpwas03-prd.eumetsat.int;s3mpfuser;s3-refmpfs01-prd.eumetsat.int;/home/s3mpfuser/data/outputs;FTP;s3pdgs;s3-refsims02-prd.eumetsat.int;/out/toESTEC/fromMPF;FTP;
